driverId,driverName,raceId,circuitName,position
830,Verstappen,1098,Bahrain Grand Prix,1
815,Pérez,1098,Bahrain Grand Prix,2
4,Alonso,1098,Bahrain Grand Prix,3
832,,1098,Bahrain Grand Prix,4
1,Hamilton,1098,Bahrain Grand Prix,5
840,,1098,Bahrain Grand Prix,6
847,,1098,Bahrain Grand Prix,7
822,,1098,Bahrain Grand Prix,8
842,,1098,Bahrain Grand Prix,9
848,,1098,Bahrain Grand Prix,10
852,,1098,Bahrain Grand Prix,11
858,,1098,Bahrain Grand Prix,12
825,,1098,Bahrain Grand Prix,13
856,,1098,Bahrain Grand Prix,14
807,,1098,Bahrain Grand Prix,15
855,,1098,Bahrain Grand Prix,16
846,,1098,Bahrain Grand Prix,17
839,,1098,Bahrain Grand Prix,\N
844,,1098,Bahrain Grand Prix,\N
857,,1098,Bahrain Grand Prix,\N
815,Pérez,1099,Saudi Arabian Grand Prix,1
830,Verstappen,1099,Saudi Arabian Grand Prix,2
4,Alonso,1099,Saudi Arabian Grand Prix,3
847,,1099,Saudi Arabian Grand Prix,4
1,Hamilton,1099,Saudi Arabian Grand Prix,5
832,,1099,Saudi Arabian Grand Prix,6
844,,1099,Saudi Arabian Grand Prix,7
839,,1099,Saudi Arabian Grand Prix,8
842,,1099,Saudi Arabian Grand Prix,9
825,,1099,Saudi Arabian Grand Prix,10
852,,1099,Saudi Arabian Grand Prix,11
807,,1099,Saudi Arabian Grand Prix,12
855,,1099,Saudi Arabian Grand Prix,13
856,,1099,Saudi Arabian Grand Prix,14
857,,1099,Saudi Arabian Grand Prix,15
858,,1099,Saudi Arabian Grand Prix,16
846,,1099,Saudi Arabian Grand Prix,17
822,,1099,Saudi Arabian Grand Prix,18
848,,1099,Saudi Arabian Grand Prix,\N
840,,1099,Saudi Arabian Grand Prix,\N
830,Verstappen,1100,Australian Grand Prix,1
1,Hamilton,1100,Australian Grand Prix,2
4,Alonso,1100,Australian Grand Prix,3
840,,1100,Australian Grand Prix,4
815,Pérez,1100,Australian Grand Prix,5
846,,1100,Australian Grand Prix,6
807,,1100,Australian Grand Prix,7
857,,1100,Australian Grand Prix,8
855,,1100,Australian Grand Prix,9
852,,1100,Australian Grand Prix,10
822,,1100,Australian Grand Prix,11
832,,1100,Australian Grand Prix,12
842,,1100,Australian Grand Prix,13
839,,1100,Australian Grand Prix,14
856,,1100,Australian Grand Prix,15
858,,1100,Australian Grand Prix,16
825,,1100,Australian Grand Prix,17
847,,1100,Australian Grand Prix,\N
848,,1100,Australian Grand Prix,\N
844,,1100,Australian Grand Prix,\N
815,Pérez,1101,Azerbaijan Grand Prix,1
830,Verstappen,1101,Azerbaijan Grand Prix,2
844,,1101,Azerbaijan Grand Prix,3
4,Alonso,1101,Azerbaijan Grand Prix,4
832,,1101,Azerbaijan Grand Prix,5
1,Hamilton,1101,Azerbaijan Grand Prix,6
840,,1101,Azerbaijan Grand Prix,7
847,,1101,Azerbaijan Grand Prix,8
846,,1101,Azerbaijan Grand Prix,9
852,,1101,Azerbaijan Grand Prix,10
857,,1101,Azerbaijan Grand Prix,11
848,,1101,Azerbaijan Grand Prix,12
825,,1101,Azerbaijan Grand Prix,13
842,,1101,Azerbaijan Grand Prix,14
839,,1101,Azerbaijan Grand Prix,15
858,,1101,Azerbaijan Grand Prix,16
807,,1101,Azerbaijan Grand Prix,17
822,,1101,Azerbaijan Grand Prix,18
855,,1101,Azerbaijan Grand Prix,\N
856,,1101,Azerbaijan Grand Prix,\N
830,Verstappen,1102,Miami Grand Prix,1
815,Pérez,1102,Miami Grand Prix,2
4,Alonso,1102,Miami Grand Prix,3
847,,1102,Miami Grand Prix,4
832,,1102,Miami Grand Prix,5
1,Hamilton,1102,Miami Grand Prix,6
844,,1102,Miami Grand Prix,7
842,,1102,Miami Grand Prix,8
839,,1102,Miami Grand Prix,9
825,,1102,Miami Grand Prix,10
852,,1102,Miami Grand Prix,11
840,,1102,Miami Grand Prix,12
822,,1102,Miami Grand Prix,13
848,,1102,Miami Grand Prix,14
807,,1102,Miami Grand Prix,15
855,,1102,Miami Grand Prix,16
846,,1102,Miami Grand Prix,17
856,,1102,Miami Grand Prix,18
857,,1102,Miami Grand Prix,19
858,,1102,Miami Grand Prix,20
830,Verstappen,1104,Monaco Grand Prix,1
4,Alonso,1104,Monaco Grand Prix,2
839,,1104,Monaco Grand Prix,3
1,Hamilton,1104,Monaco Grand Prix,4
847,,1104,Monaco Grand Prix,5
844,,1104,Monaco Grand Prix,6
842,,1104,Monaco Grand Prix,7
832,,1104,Monaco Grand Prix,8
846,,1104,Monaco Grand Prix,9
857,,1104,Monaco Grand Prix,10
822,,1104,Monaco Grand Prix,11
856,,1104,Monaco Grand Prix,12
855,,1104,Monaco Grand Prix,13
848,,1104,Monaco Grand Prix,14
852,,1104,Monaco Grand Prix,15
815,Pérez,1104,Monaco Grand Prix,16
807,,1104,Monaco Grand Prix,17
858,,1104,Monaco Grand Prix,18
825,,1104,Monaco Grand Prix,\N
840,,1104,Monaco Grand Prix,\N
830,Verstappen,1105,Spanish Grand Prix,1
1,Hamilton,1105,Spanish Grand Prix,2
847,,1105,Spanish Grand Prix,3
815,Pérez,1105,Spanish Grand Prix,4
832,,1105,Spanish Grand Prix,5
840,,1105,Spanish Grand Prix,6
4,Alonso,1105,Spanish Grand Prix,7
839,,1105,Spanish Grand Prix,8
855,,1105,Spanish Grand Prix,9
842,,1105,Spanish Grand Prix,10
844,,1105,Spanish Grand Prix,11
852,,1105,Spanish Grand Prix,12
857,,1105,Spanish Grand Prix,13
856,,1105,Spanish Grand Prix,14
807,,1105,Spanish Grand Prix,15
848,,1105,Spanish Grand Prix,16
846,,1105,Spanish Grand Prix,17
825,,1105,Spanish Grand Prix,18
